x,y
77.58,124.1056
79.03,126.0196
72.93,117.9676
65.61,108.3052
77.28,123.7096
77.92,124.5544
69.04,112.8328
68.76,112.4632
83.24,131.5768
65.85,108.622
68.15,111.658
73.52,118.7464
81.48,129.2536
85.82,134.9824
69.1,112.912
7.88,32.1016
53.84,92.7688
18.31,45.8692
75.78,121.7296
73.99,119.3668
41.99,77.1268
81.52,129.3064
58.97,99.5404
51.49,89.6668
98.76,152.0632
73.85,119.182
0.05,21.766
19.33,47.2156
97.88,150.9016
56.93,96.8476
31.03,62.6596
57.63,97.7716
11.87,37.3684
7.8,31.996
53.43,92.2276
19.55,47.506
68.84,112.5688
3.97,26.9404
72.57,117.4924
89.28,139.5496
37.92,71.7544
15.68,42.3976
37.12,70.6984
77.72,124.2904
10.05,34.966
72.73,117.7036
54.78,94.0096
17.23,44.4436
56.87,96.7684
74.69,120.2908
32.33,64.3756
76.72,122.9704
63.09,104.9788
23.19,52.3108
98.43,151.6276
39.68,74.0776
49.02,86.4064
18.92,46.6744
45.15,81.298
74.6,120.172
78.75,125.65
72.78,117.7696
71.69,116.3308
92.14,143.3248
67.49,110.7868
47.48,84.3736
76.04,122.0728
81.33,129.0556
47.56,84.4792
4.54,27.6928
16.05,42.886
21.22,49.7104
48.99,86.3668
69.92,113.9944
63.05,104.926
41.22,76.1104
33.22,65.5504
41.87,76.9684
32.82,65.0224
41.42,76.3744
64.3,106.576
93.41,145.0012
32.95,65.194
90.81,141.5692
3.1,25.792
37.18,70.7776
3.65,26.518
71.85,116.542
68.5,112.12
51.77,90.0364
64.46,106.7872
88.37,138.3484
84.28,132.9496
68.61,112.2652
9.52,34.2664
35.29,68.2828
50.33,88.1356
44.68,80.6776
30.88,62.4616
78.06,124.7392
96.67,149.3044
35.06,67.9792
94.03,145.8196
47.05,83.806
77.21,123.6172
71.44,116.0008
46,82.42
43.02,78.4864
96.39,148.9348
84.6,133.372
57.94,98.1808
47.44,84.3208
68.5,112.12
86.16,135.4312
80.83,128.3956
86.05,135.286
61.56,102.9592
8.31,32.6692
66.85,109.942
45.73,82.0636
33.46,65.8672
30.37,61.7884
1.41,23.5612
57.21,97.2172
9.03,33.6196
31.07,62.7124
65.36,107.9752
85.54,134.6128
5.27,28.6564
85.81,134.9692
50.95,88.954
72.98,118.0336
45.48,81.7336
47.33,84.1756
32.24,64.2568
46.51,83.0932
1.13,23.1916
75.2,120.964
97.3,150.136
64.64,107.0248
80.38,127.8016
97.47,150.3604
16.76,43.8232
60.21,101.1772
83.28,131.6296
84.76,133.5832
62.84,104.6488
73.64,118.9048
67.5,110.8
61.53,102.9196
38.88,73.0216
19.85,47.902
9.82,34.6624
10.77,35.9164
58.48,98.8936
73.04,118.1128
72.94,117.9808
78.57,125.4124
70.02,114.1264
39.55,73.906
96.37,148.9084
96,148.42
32.88,65.1016
69.63,113.6116
55.74,95.2768
93.21,144.7372
93.4,144.988
92.71,144.0772
42.14,77.3248
82.28,130.3096
85.36,134.3752
17.61,44.9452
39.26,73.5232
24.9,54.568
30.49,61.9468
64.59,106.9588
86.99,136.5268
63.8,105.916
8.34,32.7088
74.15,119.578
25.94,55.9408
39.42,73.7344
24.37,53.8684
69.78,113.8096
99.34,152.8288
55.66,95.1712
27.39,57.8548
70.79,115.1428
41.47,76.4404
8.71,33.1972
72.63,117.5716
47.26,84.0832
26.27,56.3764
1.52,23.7064
44,79.78
55.5,94.96
20.74,49.0768
13.32,39.2824
81.66,129.4912
81.91,129.8212
81.26,128.9632
3.07,25.7524
52.99,91.6468
31.39,63.1348
93.33,144.8956
97.05,149.806
29.52,60.6664
87.38,137.0416
32.41,64.4812
26.04,56.0728
9.53,34.2796
1.11,23.1652
12.79,38.5828
15.46,42.1072
58.97,99.5404
23.82,53.1424
29.67,60.8644
70.25,114.43
84.59,133.3588
31.29,63.0028
24.91,54.5812
61.28,102.5896
86.41,135.7612
80.47,127.9204
23.98,53.3536
26.8,57.076
3.51,26.3332
86.54,135.9328
93.72,145.4104
29.54,60.6928
22.7,51.664
66.5,109.48
89.59,139.9588
55.73,95.2636
97.86,150.8752
70.47,114.7204
29.88,61.1416
88.32,138.2824
18.44,46.0408
52.53,91.0396
42.68,78.0376
74.59,120.1588
25.61,55.5052
61.35,102.682
79.88,127.1416
34.93,67.8076
89.31,139.5892
81.1,128.752
43.2,78.724
83.73,132.2236
78.74,125.6368
29.09,60.0988
97.26,150.0832
38.28,72.2296
25.56,55.4392
12.24,37.8568
55.06,94.3792
48.8,86.116
11.17,36.4444
44.58,80.5456
81.7,129.544
65.19,107.7508
51.5,89.68
9.79,34.6228
11.27,36.5764
40.51,75.1732
8.49,32.9068
36.87,70.3684
63.71,105.7972
27.58,58.1056
61.46,102.8272
15.75,42.49
53.24,91.9768
99.34,152.8288
75.16,120.9112
52.48,90.9736
77.5,124
22.34,51.1888
97.91,150.9412
45.72,82.0504
68.56,112.1992
51.8,90.076
27.5,58
99.7,153.304
41.54,76.5328
22.66,51.6112
77.55,124.066
46.21,82.6972
67.21,110.4172
93.99,145.7668
57.29,97.3228
97.03,149.7796
51.7,89.944
25.76,55.7032
57.51,97.6132
99.54,153.0928
14.17,40.4044
31.38,63.1216
20.97,49.3804
98.22,151.3504
75.9,121.888
76.89,123.1948
87.86,137.6752
95.3,147.496
75.05,120.766
66.05,108.886
95.21,147.3772
21.06,49.4992
4.66,27.8512
80.09,127.4188
53.08,91.7656
90.4,141.028
42.33,77.5756
38.22,72.1504
13.64,39.7048
56.14,95.8048
87.52,137.2264
25.07,54.7924
42.16,77.3512
58.45,98.854
88.53,138.5596
11.94,37.4608
31.36,63.0952
22.6,51.532
14.14,40.3648
31.07,62.7124
10.31,35.3092
79.58,126.7456
71.32,115.8424
48.17,85.2844
70.85,115.222
1.06,23.0992
44.73,80.7436
3.82,26.7424
43.63,79.2916
77.07,123.4324
19.82,47.8624
81.78,129.6496
74.37,119.8684
22.86,51.8752
73.16,118.2712
5.16,28.5112
98.42,151.6144
6.7,30.544
44.53,80.4796
31.24,62.9368
58.95,99.514
20.63,48.9316
24.94,54.6208
84.49,133.2268
67.44,110.7208
46.62,83.2384
23.44,52.6408
61.94,103.4608
46.07,82.5124
12.37,38.0284
79.74,126.9568
59.51,100.2532
29.65,60.838
28.95,59.914
16.23,43.1236
53.04,91.7128
70.45,114.694
42.32,77.5624
7.52,31.6264
89.11,139.3252
55.85,95.422
43.11,78.6052
87.99,137.8468
62.07,103.6324
37.7,71.464
16.8,43.876
17.99,45.4468
48.52,85.7464
71.9,116.608
5.62,29.1184
33.7,66.184
47.8,84.796
2.35,24.802
99.11,152.5252
30.41,61.8412
77.56,124.0792
20.67,48.9844
61,102.22
91.42,142.3744
35.9,69.088
10.3,35.296
66.58,109.5856
15.09,41.6188
0.51,22.3732
87.59,137.3188
73.09,118.1788
94.66,146.6512
8.98,33.5536
28.03,58.6996
46.73,83.3836
83.08,131.3656
78.9,125.848
39.77,74.1964
15.5,42.16
28.11,58.8052
74.68,120.2776
11.16,36.4312
5.14,28.4848
49.08,86.4856
92.22,143.4304
44.62,80.5984
4.87,28.1284
26.94,57.2608
93.69,145.3708
27.15,57.538
58.18,98.4976
9.11,33.7252
60.72,101.8504
23.55,52.786
32.96,65.2072
54.94,94.2208
84.26,132.9232
5.88,29.4616
34.11,66.7252
79.62,126.7984
82.69,130.8508
0.66,22.5712
13.5,39.52
78.16,124.8712
70.09,114.2188
85.92,135.1144
41.57,76.5724
39.71,74.1172
76.07,122.1124
86.71,136.1572
65.12,107.6584
12.97,38.8204
65.16,107.7112
56.48,96.2536
9.8,34.636
5.18,28.5376
95.53,147.7996
2.92,25.5544
36.81,70.2892
2.13,24.5116
91.28,142.1896
87.77,137.5564
93.66,145.3312
49.79,87.4228
39.2,73.444
54.77,93.9964
41.2,76.084
92.11,143.2852
25.32,55.1224
28.12,58.8184
67.93,111.3676
83.51,131.9332
37.63,71.3716
30.86,62.4352
72.77,117.7564
91.16,142.0312
73.88,119.2216
23.1,52.192
33.67,66.1444
15.61,42.3052
76.42,122.5744
68.42,112.0144
74.41,119.9212
84.68,133.4776
43.79,79.5028
71.62,116.2384
53.51,92.3332
75.75,121.69
7.75,31.93
75.86,121.8352
5.29,28.6828
6.69,30.5308
38.95,73.114
34.78,67.6096
54.43,93.5476
4.73,27.9436
89.84,140.2888
73.11,118.2052
56.94,96.8608
36.01,69.2332
86.39,135.7348
13.63,39.6916
77.7,124.264
89.05,139.246
12.28,37.9096
32.76,64.9432
36.49,69.8668
1.14,23.2048
41.95,77.074
83.81,132.3292
21.24,49.7368
80.01,127.3132
6.53,30.3196
60.68,101.7976
2.43,24.9076
22.99,52.0468
34.94,67.8208
57.13,97.1116
55.04,94.3528
48.48,85.6936
58.36,98.7352
96.53,149.1196
44.57,80.5324
15.19,41.7508
95.42,147.6544
30.72,62.2504
72.21,117.0172
2.72,25.2904
6.19,29.8708
90.67,141.3844
6.21,29.8972
59.8,100.636
30.66,62.1712
38.36,72.3352
64.82,107.2624
35.15,68.098
60.72,101.8504
41,75.82
23.08,52.1656
47.07,83.8324
12.37,38.0284
67.9,111.328
78.01,124.6732
91.24,142.1368
30.14,61.4848
35.32,68.3224
18.09,45.5788
64.99,107.4868
7.32,31.3624
0.36,22.1752
37.08,70.6456
71.03,115.4596
72.17,116.9644
19.9,47.968
61.7,103.144
86.94,136.4608
93.06,144.5392
67.86,111.2752
67.03,110.1796
62.82,104.6224
91.1,141.952
98.67,151.9444
42.23,77.4436
70.24,114.4168
65.04,107.5528
78.46,125.2672
22.79,51.7828
68.07,111.5524
18.24,45.7768
30.87,62.4484
80.08,127.4056
95.29,147.4828
39.22,73.4704
83,131.26
23.58,52.8256
78.09,124.7788
79.13,126.1516
42,77.14
96.08,148.5256
4.46,27.5872
18.44,46.0408
75.4,121.228
24.25,53.71
34.4,67.108
93.84,145.5688
55.93,95.5276
5.33,28.7356
63.31,105.2692
6.81,30.6892
81.91,129.8212
24.79,54.4228
4.5,27.64
48.83,86.1556
72.52,117.4264
54.9,94.168
4.81,28.0492
28.6,59.452
46.12,82.5784
55.86,95.4352
22.15,50.938
74.18,119.6176
92.63,143.9716
62.92,104.7544
79.21,126.2572
46.16,82.6312
82.83,131.0356
70.08,114.2056
16.87,43.9684
21.61,50.2252
69.91,113.9812
99.98,153.6736
30.92,62.5144
29.27,60.3364
